Name,Category,SKU,Unit,Cost Price,Selling Price
"Hunters Gold/Dry","CIDERS","","","",50
"Savanna Dry","CIDERS","","","",55
"Flying fish can","CIDERS","","","",40
"Flying fish bottle","CIDERS","","","",30
"Brutal fruit can","CIDERS","","","",40
"Brutal fruit bottle","CIDERS","","","",30
"Belgravia Can","CIDERS","","","",60
"Belgravia bottle","CIDERS","","","",60
"Castle lager","BEERS","","","",30
"Mosi lager","BEERS","","","",30
"Black label","BEERS","","","",30
"Castle light can","BEERS","","","",40
"Castle light bottle","BEERS","","","",30
"Heiniken Malt","BEERS","","","",45
"Heiniken Silver","BEERS","","","",45
"Corona","BEERS","","","",45
"Budweiser","BEERS","","","",45
"Windhoek lager","BEERS","","","",45
"Windhoek draft","BEERS","","","",45
"Stella Artois","BEERS","","","",35
"STILL WATER","SOFTIES","","","",10
"Mango","JUICES","","","",50
"Orange","JUICES","","","",50
"Cranberry","JUICES","","","",50
"Red grape","JUICES","","","",50
"Apple","JUICES","","","",50
"Fruitcana","JUICES","","","",15
"Coke Zero","SODAS","","","",20
"Coke/Fanta/Sprite bottle","SODAS","","","",15
"Coke/Fanta/Sprite Disposable","SODAS","","","",20
"Jameson cocktail","COCKTAILS","","","",150
"White Russian","COCKTAILS","","","",150
"Classic Daquiri","COCKTAILS","","","",150
"Strawberry Daquiri","COCKTAILS","","","",150
"Tom Collins","COCKTAILS","","","",150
"Sex on the beach","COCKTAILS","","","",150
"Whisky Sour","COCKTAILS","","","",150
"Gin Sour","COCKTAILS","","","",150
"Martini (Vodka, Gin, Espresso)","COCKTAILS","","","",150
"Margarita","COCKTAILS","","","",150
"Cosmopolitan","COCKTAILS","","","",150
"Mojito","COCKTAILS","","","",150
"Pina Colada","COCKTAILS","","","",150
"Long Island","COCKTAILS","","","",200
"Sparkling waters delight","COCKTAILS","","","",150
"Virgin Mojito","MOCKTAILS","","","",100
"Virgin Daquiri","MOCKTAILS","","","",100
"Sunset Island","MOCKTAILS","","","",100
"Virgin Captain Colada","MOCKTAILS","","","",100
"Malawi shandy","MOCKTAILS","","","",100
"Rocky Shandy","MOCKTAILS","","","",100
"Brothers mocktails","MOCKTAILS","","","",25
"Ginger ale","MIXERS","","","",25
"Tonic water","MIXERS","","","",25
"Soda Water","MIXERS","","","",25
"Lemonade","MIXERS","","","",25
"Glenfiddich 15","WHISKYS","","","",2400
"Glenfiddich 12","WHISKYS","","","",1800
"Chivas 12","WHISKYS","","","",1000
"J & B","WHISKYS","","","",600
"Jameson blackbarrel","WHISKYS","","","",1200
"Jameson Original","WHISKYS","","","",850
"Jameson Castmate","WHISKYS","","","",1000
"Jack Daniels","WHISKYS","","","",1000
"Southern Comfort","WHISKYS","","","",550
"Gordons","GINS","","","",400
"Gordons Pink","GINS","","","",500
"Beefeater","GINS","","","",600
"Beefeater Pink","GINS","","","",600
"Henessy","COGNAC","","","",1400
"Remmy Martin","COGNAC","","","",1950
"Amarula","LIQUEURS","","","",650
"Wild Africa","LIQUEURS","","","",700
"Strawberry lips","LIQUEURS","","","",550
"Amarula small","LIQUEURS","","","",250
"Klipdrift","BRANDY","","","",500
"Klipdrift Premium","BRANDY","","","",650
"KWV5","BRANDY","","","",600
"Absolut Vodka","VODKAS","","","",800
"Grey Goose","VODKAS","","","",1250
"Ciroc","VODKAS","","","",1400
"Captain Morgan dark rum","RUM","","","",700
"Captain Morgan spiced Rum","RUM","","","",700
"Four Cousins","WINES BOTTLES RED","","","",250
"Cronier","WINES BOTTLES RED","","","",450
"Nederberg","WINES BOTTLES RED","","","",400
"KWV","WINES BOTTLES RED","","","",400
"Fat bastard Golden Reserve","WINES BOTTLES RED","","","",600
"Fat bastard Merlot","WINES BOTTLES RED","","","",500
"Sunkissed","WINES BOTTLES RED","","","",300
"Robertson","WINES BOTTLES RED","","","",350
"Four cousins","WINES BOTTLES WHITE","","","",250
"Sunkissed","WINES BOTTLES WHITE","","","",300
"KWV","WINES BOTTLES WHITE","","","",400
"Four Cousins red","WINES BY GLASS","","","",50
"Overmeer","WINES BY GLASS","","","",50
"Chateau Delrei","WINES BY GLASS","","","",50
"J & B","SHOTS","","","",50
"Jameson black barrel","SHOTS","","","",80
"Jameson whisky","SHOTS","","","",50
"Absolute Vodka","SHOTS","","","",50
"Jack Daniels","SHOTS","","","",60
"Klipdrift","SHOTS","","","",40
"Klipdrift premium","SHOTS","","","",50
"Tequila","SHOTS","","","",55
"Jagermeister","SHOTS","","","",50
"Southern Comfort","SHOTS","","","",50
"Amarula","SHOTS","","","",50
"Blow Job","SHOTS","","","",100
"Jager bomb","SHOTS","","","",100
"Glenfiddich 15","SHOTS","","","",100
"Glenfiddich 12","SHOTS","","","",80
"Hennessy","SHOTS","","","",100
"Gordons","SHOTS","","","",50
"Captain Morgan","SHOTS","","","",50
"J.C Le Roux","SPARKLING WINES","","","",600
"Moet Nector","CHAMPAGNES","","","",2600
"Moet Brut","CHAMPAGNES","","","",3000
"Verve Clicquot","CHAMPAGNES","","","",3600
"Verve Rich","CHAMPAGNES","","","",3800
"All Flavours Shisha","SHISHA","","","",150